Number,Chassis_maker,Body_maker,Model,body_model,year,area,other,other_2,other_3
旭川200か1163,日野自動車,日野車体,KL-HR1JNEE,レインボーHR,2003,市内,東武バスセントラル,9712,
旭川200か1164,日野自動車,日野車体,KL-HR1JNEE,レインボーHR,2003,市内,東武バスセントラル,9716,
旭川200か1165,日野自動車,日野車体,KL-HR1JNEE,レインボーHR,2003,市内,東武バスウエスト,9721,
旭川200か1173,いすゞ,IBM,KL-LV280L1改,エルガ,2004,市内,西東京バス,A10412,
旭川200か1174,日野自動車,日野車体,KL-HR1JNEE,レインボーHR,2004,市内,東武バスウエスト,9776,
旭川200か1175,日野自動車,日野車体,KL-HR1JNEE,レインボーHR,2004,市内,東武バスウエスト,9774,
旭川200か1182,いすゞ,JBUS,PKG-RU1ESAJ,ガーラHD,2007,-,西武バス,1756,除籍
旭川200か1183,日野自動車,日野車体,KL-HR1JNEE,レインボーHR,2004,市内,東武バスセントラル,9759,
旭川200か1184,日野自動車,日野車体,KL-HR1JNEE,レインボーHR,2004,市内,東武バスウエスト,9775,
旭川200か1198,日産ディーゼル,西日本車体工業,KL-UA452KAN改,96MC B-II,2004,市内,東急バス　,NI516,
旭川200か1199,三菱ふそう,MFBM,KL-MP37JK,エアロスター,2003,市内,小田急バス,03-A6024,
旭川200か1200,日野自動車,JBUS,ACG-HU8JLFP,ブルーリボンシティハイブリッド,2005,市内/長距離,川崎鶴見臨港バス,2H257,
旭川200か1210,三菱ふそう,MFBM,LKG-MS96VP,エアロエース,2012,リンクス/都市間,平和交通,-,
旭川200か1211,三菱ふそう,MFBM,LKG-MS96VP,エアロエース,2012,都市間,平和交通,-,除籍
旭川200か1226,日野自動車,日野車体,KL-HR1JNEE,レインボーHR,2004,市内,東武バスウエスト,9770,
旭川200か1227,日野自動車,日野車体,KL-HR1JNEE,レインボーHR,2004,-,東武バスウエスト,9771,除籍
旭川200か1228,日野自動車,日野車体,KL-HR1JNEE,レインボーHR,2004,市内,東武バスセントラル,9750,
旭川200か1230,日野自動車,JBUS,PK-HR7JPAE,レインボー,2005,市内,西東京バス,D20516,
旭川200か1231,日野自動車,JBUS,PK-HR7JPAE,レインボー,2005,市内,西東京バス,D20515,
旭川200か1237,三菱ふそう,MFBM,PA-MK27FM,エアロミディMK,2005,市内,東急バス　,T676,除籍
旭川200か1238,三菱ふそう,MFBM,PJ-MP37JK,エアロスター,2005,市内,神奈中バス,あ19,
旭川200か1239,いすゞ,JBUS,PKG-RU1EAJ,ガーラHD,2009,都市間,西武観光バス,1881,除籍
旭川200か1255,三菱ふそう,MFBM,QRG-MS96VP,エアロエース,2012,リンクス/都市間,平和交通,-,
旭川200か1259,日野自動車,JBUS,ADG-RU1ESAA,セレガHD,2006,都市間,関東自動車,715,
旭川200か1271,三菱ふそう,MFBM,PA-MK27FM,エアロミディMK,2006,市内,東急バス　,S680,
旭川200か1274,三菱ふそう,MFBM,BKG-MS96JP,エアロエース,2008,都市間,川崎鶴見臨港バス,3031,
旭川200か1284,日野自動車,JBUS,PKG-RU1ESAA,セレガHD,2010,都市間,西東京バス,DH21072,
旭川200か1290,いすゞ,JBUS,LKG-RU1ESBJ,ガーラHD,2011,都市間,西武観光バス,1199,
旭川200か1295,いすゞ,JBUS,LKG-RU1ESBJ,ガーラHD,2011,都市間,西武バス,-,
